DEL NORTE 2E	maxt	mint	pcpn	snow
2015-06-19	83	45	T	0.0
2015-06-20	86	52	0.00	0.0
2015-06-21	87	49	0.00	0.0
2015-06-22	90	50	0.00	0.0
2015-06-23	92	50	0.00	0.0
2015-06-24	86	50	T	0.0
2015-06-25	81	49	0.00	0.0
2015-06-26	83	49	0.00	0.0
2015-06-27	82	49	0.26	0.0
2015-06-28	82	49	0.03	0.0
2015-06-29	82	49	0.03	0.0
2015-06-30	80	50	0.00	0.0
2015-07-01	85	53	0.04	0.0
2015-07-02	84	54	0.03	0.0
2015-07-03	84	48	0.05	0.0
2015-07-04	77	49	0.02	0.0
2015-07-05	79	51	T	0.0
2015-07-06	79	50	0.12	0.0
2015-07-07	77	53	0.21	0.0
2015-07-08	77	46	0.03	0.0
2015-07-09	67	43	0.04	0.0
2015-07-10	69	44	0.07	0.0
2015-07-11	76	47	0.00	0.0
2015-07-12	80	47	0.00	0.0
2015-07-13	81	47	0.00	0.0
2015-07-14	81	47	0.01	0.0
2015-07-15	71	48	0.04	0.0
2015-07-16	73	47	0.02	0.0
2015-07-17	77	46	0.00	0.0
2015-07-18	74	47	0.10	0.0
2015-07-19	77	47	0.26	0.0
2015-07-20	71	51	0.02	0.0
2015-07-21	69	54	0.32	0.0
2015-07-22	79	47	0.00	0.0
2015-07-23	77	48	0.00	0.0
2015-07-24	78	50	0.00	0.0
2015-07-25	81	50	0.03	0.0
2015-07-26	81	50	0.00	0.0
2015-07-27	81	52	0.01	0.0
2015-07-28	83	46	0.00	0.0
2015-07-29	86	51	0.02	0.0
2015-07-30	81	47	T	0.0
2015-07-31	86	46	0.00	0.0
2015-08-01	79	56	0.00	0.0
2015-08-02	77	51	0.00	0.0
2015-08-03	73	53	0.18	0.0
2015-08-04	74	47	0.10	0.0
2015-08-05	85	46	T	0.0
2015-08-06	85	49	T	0.0
2015-08-07	85	46	0.00	0.0
2015-08-08	84	51	0.12	0.0
2015-08-09	84	46	0.03	0.0
2015-08-10	84	46	0.00	0.0
2015-08-11	84	46	0.03	0.0
2015-08-12	79	52	0.00	0.0
2015-08-13	82	51	T	0.0
2015-08-14	84	51	T	0.0
2015-08-15	84	51	T	0.0
2015-08-16	84	52	T	0.0
2015-08-17	83	49	T	0.0
2015-08-18	83	46	0.01	0.0
2015-08-19	85	40	0.00	0.0
2015-08-20	85	40	0.00	0.0
2015-08-21	85	41	0.00	0.0
2015-08-22	78	45	0.00	0.0
2015-08-23	77	45	0.00	0.0
2015-08-24	81	46	0.00	0.0
2015-08-25	81	44	0.00	0.0
2015-08-26	80	50	0.00	0.0
2015-08-27	72	49	0.42	0.0
2015-08-28	72	49	0.02	0.0
2015-08-29	78	49	0.00	0.0
2015-08-30	80	46	0.00	0.0
2015-08-31	80	46	0.02	0.0
2015-09-01	74	47	0.03	0.0
2015-09-02	78	49	T	0.0
2015-09-03	78	51	0.13	0.0
2015-09-04	72	45	0.10	0.0
2015-09-05	72	45	0.17	0.0
2015-09-06	67	44	0.08	0.0
2015-09-07	74	43	0.00	0.0
2015-09-08	78	47	0.00	0.0
2015-09-09	76	41	T	0.0
2015-09-10	77	43	0.00	0.0
2015-09-11	79	44	0.00	0.0
2015-09-12	79	42	0.00	0.0
2015-09-13	80	42	0.00	0.0
2015-09-14	82	42	0.00	0.0
2015-09-15	75	46	0.01	0.0
2015-09-16	75	43	0.00	0.0
2015-09-17	75	42	0.00	0.0
2015-09-18	76	38	0.00	0.0
2015-09-19	75	36	0.00	0.0
2015-09-20	77	37	T	0.0
2015-09-21	77	37	0.00	0.0
2015-09-22	78	39	0.00	0.0
2015-09-23	74	48	0.12	0.0
2015-09-24	74	45	0.01	0.0
2015-09-25	76	41	0.00	0.0
2015-09-26	80	43	0.00	0.0
2015-09-27	80	42	0.00	0.0
2015-09-28	80	46	0.00	0.0
2015-09-29	76	45	0.00	0.0
2015-09-30	77	45	T	0.0
2015-10-01	73	42	0.02	0.0
2015-10-02	77	45	0.00	0.0
2015-10-03	70	33	T	0.0
2015-10-04	73	33	0.00	0.0
2015-10-05	64	35	0.05	0.0
2015-10-06	63	36	0.14	0.0
2015-10-07	65	36	0.00	0.0
2015-10-08	66	36	T	0.0
2015-10-09	68	38	0.00	0.0
2015-10-10	71	37	0.00	0.0
2015-10-11	73	37	0.00	0.0
2015-10-12	76	38	0.00	0.0
2015-10-13	76	37	0.00	0.0
2015-10-14	75	36	0.00	0.0
2015-10-15	73	36	0.00	0.0
2015-10-16	66	34	0.00	0.0
2015-10-17	65	34	T	0.0
2015-10-18	66	38	0.00	0.0
2015-10-19	63	34	0.02	0.0
2015-10-20	60	32	0.02	0.0
2015-10-21	47	39	0.08	0.0
2015-10-22	54	32	0.72	0.0
2015-10-23	55	33	0.02	0.0
2015-10-24	57	31	0.04	0.0
2015-10-25	57	30	0.00	0.0
2015-10-26	M	30	0.00	0.0
2015-10-27	60	28	0.02	0.0
2015-10-28	51	28	0.00	0.0
2015-10-29	51	31	0.00	0.0
2015-10-30	52	26	0.04	0.0
2015-10-31	58	26	T	0.0
2015-11-01	60	20	0.00	0.0
2015-11-02	60	20	0.00	0.0
2015-11-03	65	24	0.00	0.0
2015-11-04	65	24	0.00	0.0
2015-11-05	65	22	T	T
2015-11-06	46	19	0.00	0.0
2015-11-07	46	19	0.00	0.0
2015-11-08	45	17	0.00	0.0
2015-11-09	45	17	0.00	0.0
2015-11-10	49	18	0.00	0.0
